utterance,preprocessed,fn_exp,fn_pred,exec_exp,exec_pred,dir_exp,dir_pred,conf,categories
주방 조명 최소로,주방 조명 최소로,light_control,light_control,control_then_confirm,control_then_confirm,off,set,1.000,dir:off→set;length:short
침실 조명 최소로,침실 조명 최소로,light_control,light_control,control_then_confirm,control_then_confirm,down,set,1.000,dir:down→set;length:short
작은방 조명 최소로,작은방 조명 최소로,light_control,light_control,control_then_confirm,control_then_confirm,down,set,1.000,dir:down→set;length:short
아이방 조명 최소로,아이방 조명 최소로,light_control,light_control,control_then_confirm,control_then_confirm,off,set,1.000,dir:off→set;length:short
안방 커튼 예약,안방 커튼 예약,curtain_control,curtain_control,query_then_respond,control_then_confirm,none,none,1.000,exec:query_as_control;length:short
침실 커튼 예약,침실 커튼 예약,curtain_control,curtain_control,query_then_respond,control_then_confirm,none,none,1.000,exec:query_as_control;length:short
작은방 커튼 예약,작은방 커튼 예약,curtain_control,curtain_control,query_then_respond,control_then_confirm,none,none,1.000,exec:query_as_control;length:short
근처 신경외과,근처 신경외과,medical_query,unknown,query_then_respond,direct_respond,none,none,0.804,fn:known_to_unknown;exec:query_then_respond→direct_respond;length:very_short
약국 위치,약국 위치,medical_query,unknown,query_then_respond,direct_respond,none,none,0.576,fn:known_to_unknown;exec:query_then_respond→direct_respond;length:very_short
알람 맞춰줘,알람 맞춰줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,0.989,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
엘리베이터 좀 불러줘,엘리베이터이터 좀 불러줘,elevator_call,elevator_call,control_then_confirm,control_then_confirm,on,none,1.000,dir:missing;length:short
문 열렸어?,문 열렸어?,door_control,door_control,query_then_respond,control_then_confirm,none,open,1.000,exec:query_as_control;dir:spurious;length:very_short
